DAY,000h,001h,002h,003h,004h,005h,006h,007h,008h,009h,010h,011h,012h,013h,014h,015h,016h,017h,018h,019h,020h,021h,022h,023h
MON,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,0000,0000,0000,0000,0000
TUE,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,0000,0000,0000,0000,0000
WED,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,0000,0000,0000,0000,0000
THU,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,1111,1111,1111,1111,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
FRI,0000,0000,0000,0000,0000,0000,0000,0000,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,0000,0000,0000,0000,0000
SAT,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
SUN,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
